item_id,dataset,query_ref,score_band,query_active_channels,query_high_risk_channels,query_stage_profile,rating_semantic_similarity_0_2,rating_shared_high_risk_precursor_0_1,rating_supports_escalation_0_2,rating_misleading_0_1,rating_confidence_1_5,free_text_rationale,analog1_ref,analog1_active_channels,analog1_high_risk_channels,analog1_stage_profile,analog2_ref,analog2_active_channels,analog2_high_risk_channels,analog2_stage_profile,analog3_ref,analog3_active_channels,analog3_high_risk_channels,analog3_stage_profile,analog4_ref,analog4_active_channels,analog4_high_risk_channels,analog4_stage_profile,analog5_ref,analog5_active_channels,analog5_high_risk_channels,analog5_stage_profile
item_e7e7c5efa619,AIT-ADS chronology,q_e6f83fa182ca,top_decile,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_3507df9d5c34,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_6fa9c3c2b88f,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_9b244123a640,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35f696c3b63d,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_d68e36f78bdb,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan
item_c018e38e1eb0,AIT-ADS chronology,q_e6f83fa182ca,top_decile,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_aa26c68c0427,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285159b337d1,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_e1f98400c34f,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_bb18ae5f8cb0,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285695e9d9c6,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_60256b3a32bd,AIT-ADS chronology,q_e6f83fa182ca,top_decile,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_3507df9d5c34,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_6fa9c3c2b88f,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_9b244123a640,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35f696c3b63d,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_d68e36f78bdb,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan
item_a4f688ce2d90,AIT-ADS chronology,q_e6f83fa182ca,top_decile,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_3507df9d5c34,execution;priv_esc,execution;priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35fa0971d50a,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_e1f98400c34f,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_35f696c3b63d,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_194ff82c2264,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan
item_7442021e475f,ATLASv2 held-out-family,q_f70e60630ecd,middle,none,none,not_provided,,,,,,,a_0d5cf2d4e68b,none,none,not_provided,a_cb05b7c254cc,none,none,not_provided,a_9e1735abb653,none,none,not_provided,a_06808402b0ec,none,none,not_provided,a_15d2b2a6998f,none,none,not_provided
item_ff7ab197eb99,AIT-ADS chronology,q_e6f83fa182ca,low_quartile,none,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_51529f6561ed,none,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_5e0523330561,none,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_da33b660f6b0,none,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_54e36e3da5b1,none,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_1f049140fd72,none,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan
item_fdb05869b050,AIT-ADS chronology,q_e6f83fa182ca,top_decile,none,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_d0122971fec3,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_3ef5468f6ca1,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_9883e973d284,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_4fa0b63c1b58,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_4a3532ed1640,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_c23799369724,ATLASv2 held-out-family,q_b4fc24ac91ca,middle,none,none,not_provided,,,,,,,a_0d5cf2d4e68b,none,none,not_provided,a_cb05b7c254cc,none,none,not_provided,a_9e1735abb653,none,none,not_provided,a_06808402b0ec,none,none,not_provided,a_15d2b2a6998f,none,none,not_provided
item_cce70d903ba5,AIT-ADS chronology,q_e6f83fa182ca,top_decile,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_8dd6a4b13b99,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_8d547d1e2638,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_abcb1b005c57,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_bb18ae5f8cb0,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285695e9d9c6,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_f071ebd67427,ATLASv2 held-out-family,q_8e3c5f3cbc3c,middle,none,none,not_provided,,,,,,,a_0d5cf2d4e68b,none,none,not_provided,a_cb05b7c254cc,none,none,not_provided,a_9e1735abb653,none,none,not_provided,a_06808402b0ec,none,none,not_provided,a_15d2b2a6998f,none,none,not_provided
item_2c9f4370c0b4,AIT-ADS chronology,q_4758ad64667f,top_decile,none,none,dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,,,,,,,a_d0122971fec3,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_3ef5468f6ca1,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_9883e973d284,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_4fa0b63c1b58,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_4a3532ed1640,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_cafaff08dcdb,AIT-ADS chronology,q_3d64d7f122be,middle,auth_abuse;execution,execution,dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,,,,,,,a_6d3c9cef6a6b,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_6fa9c3c2b88f,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_fe9cea652da4,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_1b1e8c062710,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_1f049140fd72,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan
item_a912011c20ae,AIT-ADS chronology,q_3d64d7f122be,middle,auth_abuse;execution,execution,dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,,,,,,,a_51529f6561ed,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_35fa0971d50a,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_da33b660f6b0,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_1b1e8c062710,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_1f049140fd72,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan
item_7a9ad472eecb,AIT-ADS chronology,q_4758ad64667f,top_decile,priv_esc,priv_esc,dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,,,,,,,a_aa26c68c0427,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_8d547d1e2638,auth_abuse;priv_esc;c2,priv_esc;c2,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_abcb1b005c57,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_bb18ae5f8cb0,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285695e9d9c6,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_ace5c57f91f2,AIT-ADS chronology,q_e6f83fa182ca,middle,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_3507df9d5c34,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35fa0971d50a,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_9b244123a640,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_54e36e3da5b1,auth_abuse;execution,execution,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_d68e36f78bdb,auth_abuse,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan
item_45cd52101c1c,AIT-ADS chronology,q_e6f83fa182ca,top_decile,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_aa26c68c0427,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285159b337d1,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_e1f98400c34f,persistence;priv_esc,persistence;priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_bb18ae5f8cb0,persistence;priv_esc,persistence;priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285695e9d9c6,persistence;priv_esc,persistence;priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_5f1a47446d4a,ATLASv2 held-out-family,q_8e3c5f3cbc3c,middle,none,none,not_provided,,,,,,,a_0d5cf2d4e68b,none,none,not_provided,a_cb05b7c254cc,none,none,not_provided,a_9e1735abb653,none,none,not_provided,a_06808402b0ec,none,none,not_provided,a_15d2b2a6998f,none,none,not_provided
item_54d525a630bf,AIT-ADS chronology,q_4758ad64667f,top_decile,recon;auth_abuse;execution;persistence;lateral_move;collection_exfil,execution;persistence;lateral_move;collection_exfil,dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,,,,,,,a_3507df9d5c34,auth_abuse;priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35fa0971d50a,auth_abuse;priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_fe9cea652da4,auth_abuse,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;webshell;wpscan,a_35f696c3b63d,auth_abuse,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_d68e36f78bdb,auth_abuse,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan
item_aff73b37e354,ATLASv2 held-out-family,q_8a4ae7dc6f39,high_quartile,recon;execution,execution,not_provided,,,,,,,a_6dcf37a38b08,recon;execution,execution,not_provided,a_206b8fa1ed9d,recon;execution,execution,not_provided,a_5702d5bffce5,recon;execution;persistence,execution;persistence,not_provided,a_683533403cb0,recon;execution;persistence,execution;persistence,not_provided,a_d14a215df496,recon;auth_abuse;execution,execution,not_provided
item_aabb946d8670,ATLASv2 held-out-family,q_8a4ae7dc6f39,top_decile,none,none,not_provided,,,,,,,a_3169ada826a1,none,none,not_provided,a_dd9e72aed31d,none,none,not_provided,a_201d8c1f5d20,none,none,not_provided,a_130abdbc237b,none,none,not_provided,a_29efabeac27e,none,none,not_provided
item_86d70a135b74,AIT-ADS chronology,q_e6f83fa182ca,top_decile,none,none,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_d0122971fec3,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_3ef5468f6ca1,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_9883e973d284,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_4fa0b63c1b58,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_4a3532ed1640,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_aa942dfdb748,AIT-ADS chronology,q_4758ad64667f,top_decile,auth_abuse;execution;priv_esc;c2,execution;priv_esc;c2,dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,,,,,,,a_aa26c68c0427,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_8d547d1e2638,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_9b244123a640,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_35f696c3b63d,auth_abuse;priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;service_scans;wpscan,a_285695e9d9c6,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_37c0de696fea,ATLASv2 held-out-family,q_46b15256ca52,high_quartile,recon;execution,execution,not_provided,,,,,,,a_6dcf37a38b08,recon;execution,execution,not_provided,a_206b8fa1ed9d,recon;execution,execution,not_provided,a_5702d5bffce5,recon;execution;persistence,execution;persistence,not_provided,a_683533403cb0,recon;execution;persistence,execution;persistence,not_provided,a_d14a215df496,recon;auth_abuse;execution,execution,not_provided
item_05c8df8f84a2,ATLASv2 held-out-family,q_8a4ae7dc6f39,top_decile,none,none,not_provided,,,,,,,a_3169ada826a1,none,none,not_provided,a_dd9e72aed31d,none,none,not_provided,a_201d8c1f5d20,none,none,not_provided,a_130abdbc237b,none,none,not_provided,a_29efabeac27e,none,none,not_provided
item_b6bf55d22219,AIT-ADS chronology,q_e6f83fa182ca,top_decile,priv_esc,priv_esc,cracking;dirb;dnsteal;network_scans;privilege_escalation;reverse_shell;service_scans;wpscan,,,,,,,a_8dd6a4b13b99,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_8d547d1e2638,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_abcb1b005c57,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_bb18ae5f8cb0,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_285695e9d9c6,priv_esc,priv_esc,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
item_7626c9986a4b,AIT-ADS chronology,q_4758ad64667f,top_decile,none,none,dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,,,,,,,a_d0122971fec3,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_3ef5468f6ca1,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_9883e973d284,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_4fa0b63c1b58,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan,a_4a3532ed1640,none,none,cracking;dirb;dnsteal;privilege_escalation;reverse_shell;service_scans;service_stop;webshell;wpscan
